StationName,StationCode,TargetLatitude,TargetLongitude
"Agricultural ditch draining into Willow Brook - just  south of Adobe Rd, 300m west of Hardin Ln",206PET394,38.28739,-122.64248
Agua Hedionda Creek TWAS 1,AHC-TWAS-1,33.15436,-117.2416
Alamo Creek at Alamo Creek Road,312ALA,35.02667,-120.303697
Alamo River at Drop 10 Central Drain,723ARDP10,32.82611,-115.4325
Alamo River at Drop 3,723ARDP03,33.14344,-115.56792
Alamo River at Drop 6 Rose Drain,723ARDP06,32.98705,-115.46862
Alamo River at Drop 6A Holtville Drain,723ARDP6A,32.93152,-115.45662
Alamo River at Drop 8,723ARDP08,32.87285,-115.4456
Alamo River at International Boundary,723ARINTL,32.67506,-115.37008
Alamo River Outlet,723ARGRB1,33.1992,-115.5971
"Albion River-Albion River, Mendocino",Albion River,39.2269,-123.77
Alder Cr above Smithneck Cr,SM6-UCD-Tate,39.59689805,-120.1682316
Alder Creek,MTRALDR,39.3669,-120.18939
Alisal Creek upper,309-ALISA-32,36.68113792,-121.6362417
Alpha St. and 38th St. Restoration area,PBL-040,32.69192,-117.11264
Alpine Creek at Alpine Road,202-ALPIN-11,37.29827,-122.26361
Alvarado Park,206WIL070,37.95233,-122.32038
Am River at Hwy 80,Am River at Hwy 80,-88,-88
Amargosa River at Upper Canyon,609AMR002,35.82589,-116.21903
Amargosa River below Willow Cr,609AMR001,35.78341,-116.20115
American R @ Discovery Park,519AMNDVY,38.60094,-121.5055
American R at Howe Ave Access,519LSAC53,38.560052,-121.405346
American R at Lower Sunrise Area,519LSAC52,38.63261,-121.271451
American River at Discovery Park (SVWQC),519XARDPK,38.60195,-121.501117
American River at Hagan Community Park,514SAC012,38.60532,-121.31199
American River at Harrington Street,519SAC103,38.58009,-121.341
American River at North 10th Street,514SAC009,38.60099,-121.48431
American River at River Bend Park,519SAC102,38.59668,-121.33099
American River at Watt Ave Bridge,514SAC011,38.5658,-121.3819
American River South Fork at Bridal Veil Picnic Area,514ELD020,38.76751,-120.48409
American River- South Fork at Camp Lotus,514AMR809,38.807029,-120.919524
American River- South Fork- Cronin Ranch Road,514AMR810,38.806433,-120.977543
American River- South Fork- DS of Cronin Ranch Road,514AMR811,38.804814,-120.980126
American-Sacramento Confluence Beach,519AMNSAC,38.59763,-121.50736
"Anchor Bay-Anchor Bay, Mendocino",Anchor Bay,38.8024,-123.584
Anderson Creek on Ash Creek Road,508XACACR,40.4189,-122.2136
ANO001,4-343,37.1113,-122.298
ANO030,4-344,37.1133,-122.301
ANO033,4-345,37.1121,-122.298
ANO033-ORW,4-346,37.1118,-122.299
ANO035,4-348,37.1072,-122.293
Antelope Creek at Crain Walnut Shelling,504TEH906,40.10317,-122.11678
Aptos Creek @ Winfield,304APW,36.97215098,-121.904375
Aptos Creek at Nisene Marks Park Road,304APS,37.00144006,-121.9051422
Aptos Creek at Spreckles Drive,304APT,36.97391526,-121.9027384
Aptos Creek mouth,304-APTOS-23,36.96961,-121.90645
Aptos Creek near Aptos Valencia confluence,304-APTOS-22,36.97597,-121.9023
Aptos Creek Nisene Marks State Park,304-APTOS-21,37.00166,-121.90593
"Aquatic Park-Aquatic Park, San Mateo",Aquatic Park,37.5602,-122.291
Arana Creek at Harbor High fish ladder,304-ARANA-21,36.983756,-121.994356
Arana Creek at North Harbor,304-ARANA-22,36.97399123,-121.99776
Arana Creek at Paul Sweet Road and Maybe Lane,304-ARANA-23,37.00386019,-121.9840454
Arana Gulch at Harbor High School,304ARA,36.98391575,-121.99295
"Arena Cove-Arena Cove, Mendocino",Arena Cove,38.9143,-123.71
Arroyo Burro at Cliff Drive,315ABU,34.40505098,-119.739115
Arroyo Burro Creek at Hope Street,315ABH,34.43788798,-119.745745
Arroyo Calero at Singer Park-204GUA225,204GUA225,37.214116,-121.834442
Arroyo Creek at Delaware Ave,304-ARROY-22,36.955,-122.0517
Arroyo Creek at Meder Park,304-ARROY-21,36.9667,-122.0533
Arroyo Creek at West Cliff Drive,304-ARROY-23,36.9496,-122.0514
Arroyo de la Cruz 500m upstream from Highway 1,310ADU,35.70948322,-121.295506
Arroyo de la Cruz at Highway 1,310ADC,35.70834198,-121.303499
Arroyo de la Cruz under Hwy 1,310-ARROY-42,35.70832293,-121.302901
Arroyo del Puerto at bridge in San Simeon,310-ARROY-41,35.6437358,-121.1890824
Arroyo Grande at Bittle Park,310AGB,35.18509698,-120.498666
Arroyo Grande at Fair Oaks Bridge,310AGF,35.11260698,-120.586269
Arroyo Grande Creek @ Strother Park,310AGS,35.12777598,-120.556479
Arroyo Grande Creek at 22nd Street,310ARG,35.09521298,-120.60625
Arroyo Laguna mouth,310-LAGUN-41,35.65192051,-121.2195882
Arroyo Ojo de Aqua at Stulsaft Park-204AOA250,204AOA250,37.45563,-122.24808
Arroyo Paredon Creek at Via Real,315APC,34.41421698,-119.555936
Arroyo Paredon Lagoon at Padaro,CMWAP00,34.41399,-119.55806
Arroyo Pasajero at El Dorado Avenue,558WWDAPE,36.1664,-120.2107
Arroyo Pasajero at Marmon Avenue,551WWDAPM,36.2263,-120.1183
Arroyo Seco River @ Elm St,309SEC,36.28052098,-121.321538
Arroyo Seco River at Thorne Road,309SET,36.32146498,-121.294507
Arroyo Sequit at Fork,404SMB000,34.08374,-118.91871
Arroyo Sequit Lower,404SMB002,34.04547,-118.93438
Arroyo Sequit Upper,404SMB001,34.06464,-118.93269
Arroyo Viejo Rec. Center,204AVJ020,37.76253,-122.17539
ArroyoSequitCreek,LeoCarilloSouthBeach_C,34.04512,-118.934242
Artesian Rd,SGT-025,33.01217,-117.17361
"Artesian Swimming Hole, North 1",603ARTB05,37.37392,-118.34277
"Artesian Swimming Hole, North 2",603ARTB06,37.37876,-118.35031
"Artesian Swimming Hole, South 1",603ARTB01,37.35045,-118.32648
"Ash Cr at 4 on 40N12, corral",B7-UCD-Tate,41.33598786,-121.9616438
"Ash Cr. at Coonrod by Rd 41N97, Lower Medicine Circle",B6-UCD-Tate,41.34743653,-121.9686697
Ash Cr. at RD 42N13 Upper Medicine Circle,B5-UCD-Tate,41.35137556,-121.9750267
Ash creek sec 14 upper,B9-UCD-Tate,41.40054179,-122.0532215
"Ash creek sec 30, Sugar Pine Butte",B8-UCD-Tate,41.37204912,-122.0028625
Ash Creek WA,526T00025,41.16392,-121.13378
Asilomar State Park at bridge,309-ASILO-31,36.61705335,-121.938896
At Jawbone Falls swimming area,JR5-UCD-Tate,38.00775087,-119.9720567
At Ocean View between 7th Street and 5th Street -18in Discharge,203PAC020-DIS-18,36.6211,-121.91
Atascadero Creek @ Patterson Avenue,315ATU,34.42508098,-119.809042
Atascadero Creek at Patterson,GVWAT2,34.42471,-119.81074
Atascadero Creek at Puente Drive,GVWAT3,34.43238,-119.78417
Atascadero Creek at Three Bridges on Morro Road,309-ATASC-42,35.45513448,-120.6911517
Atascadero Creek at Ward,GVWAT1,34.42317,-119.82063
Atascadero Creek at Ward Drive,315ATA,34.42345198,-119.819287
Atascadero Creek at West Mall Bridge,309-ATASC-41,35.49298554,-120.6651201
Atascadero Creek Highway 41,309ATS,35.49292798,-120.664032
Auburn Ravine at Hwy 193 Bridge,519PLA930,38.8904,-121.28286
Auburn Ravine at Joiner Parkway/1st Street,519PLA931,38.88437,-121.31091
Auburn Ravine at Nelson,519PLA932,38.87629,-121.34017
Audubon Canyon,201AUD020,37.93081,-122.68037
AvalonN_Torrent_Drywell,TDW,33.99591,-118.2672
B_TM_B03,B03_B_TM,33.37966,-117.57637
B03 CDPH bay mouth fecal coliform site,310B03,35.3677,-120.8642
B03W013_B03,B03_B03W013,32.557,-117.257
B03W014_B03,B03_B03W014,32.53617,-117.16117
B03W015_B03,B03_B03W015,32.53633,-117.12883
B03W016_B03,B03_B03W016,32.55383,-117.13617
B03W017_B03,B03_B03W017,32.56117,-117.14783
B03W018_B03,B03_B03W018,32.55083,-117.165
B03W019_B03,B03_B03W019,32.55333,-117.18467
B03W020_B03,B03_B03W020,32.57233,-117.1675
B03W021_B03,B03_B03W021,32.57417,-117.19083
B03W022_B03,B03_B03W022,32.59467,-117.13783
B03W023_B03,B03_B03W023,32.5955,-117.17217
B03W024_B03,B03_B03W024,32.59533,-117.19717
B03W025_B03,B03_B03W025,33.58018,-117.8594
B03W026_B03,B03_B03W026,33.57205,-117.86407
B03W027_B03,B03_B03W027,33.56393,-117.86872
B03W028_B03,B03_B03W028,33.5492,-117.87762
B03W029_B03,B03_B03W029,33.58892,-117.8782
B03W030_B03,B03_B03W030,33.57925,-117.8838
B03W031_B03,B03_B03W031,33.57608,-117.88573
B03W032_B03,B03_B03W032,33.55982,-117.89513
B03W033_B03,B03_B03W033,33.59618,-117.89803
B03W034_B03,B03_B03W034,33.58805,-117.9027
B03W035_B03,B03_B03W035,33.57993,-117.90737
B03W036_B03,B03_B03W036,33.56352,-117.91718
B03W037_B03,B03_B03W037,33.60305,-117.92915
B03W038_B03,B03_B03W038,33.59385,-117.93677
B03W039_B03,B03_B03W039,33.58482,-117.94463
B03W040_B03,B03_B03W040,33.56998,-117.9569
B03W041_B03,B03_B03W041,33.62488,-117.96385
B03W042_B03,B03_B03W042,33.61502,-117.9719
B03W043_B03,B03_B03W043,33.60522,-117.98017
B03W044_B03,B03_B03W044,33.59038,-117.99243
B03W045_B03,B03_B03W045,33.57557,-118.0047
B03W046_B03,B03_B03W046,33.64287,-118.00107
B03W047_B03,B03_B03W047,33.63422,-118.00825
B03W048_B03,B03_B03W048,33.62562,-118.0156
B03W049_B03,B03_B03W049,33.61082,-118.0279
B03W050_B03,B03_B03W050,33.596,-118.0402
B03W051_B03,B03_B03W051,33.66533,-118.03505
B03W052_B03,B03_B03W052,33.6557,-118.04322
B03W053_B03,B03_B03W053,33.64608,-118.0512
B03W054_B03,B03_B03W054,33.63125,-118.06347
B03W055_B03,B03_B03W055,33.61643,-118.07573
B03W056_B03,B03_B03W056,33.69125,-118.06573
B03W057_B03,B03_B03W057,33.67898,-118.0764
B03W058_B03,B03_B03W058,33.66645,-118.08673
B03W059_B03,B03_B03W059,33.65163,-118.0991
B03W060_B03,B03_B03W060,33.63683,-118.11125
B03W061_B03,B03_B03W061,33.72787,-118.12025
B03W062_B03,B03_B03W062,33.69904,-118.12779
B03W063_B03,B03_B03W063,33.67021,-118.13533
B03W064_B03,B03_B03W064,33.64139,-118.14287
B03W065_B03,B03_B03W065,33.72993,-118.11792
B03W066_B03,B03_B03W066,33.7285,-118.1393
B03W067_B03,B03_B03W067,33.72043,-118.18426
B03W068_B03,B03_B03W068,33.69398,-118.1905
B03W069_B03,B03_B03W069,33.66752,-118.19674
B03W070_B03,B03_B03W070,33.64107,-118.20299
B03W071_B03,B03_B03W071,33.70775,-118.24666
B03W072_B03,B03_B03W072,33.68864,-118.25112
B03W073_B03,B03_B03W073,33.66953,-118.25559
B03W074_B03,B03_B03W074,33.65042,-118.26005
B03W075_B03,B03_B03W075,33.70288,-118.28438
B03W076_B03,B03_B03W076,33.69327,-118.28908
B03W077_B03,B03_B03W077,33.66845,-118.2968
B03W078_B03,B03_B03W078,33.65767,-118.30128
B03W079_B03,B03_B03W079,33.7677,-118.2503
B03W080_B03,B03_B03W080,33.7188,-118.2685
B03W081_B03,B03_B03W081,33.7104,-118.2614
B03W082_B03,B03_B03W082,33.7163,-118.2382
B03W083_B03,B03_B03W083,33.7264,-118.213
B03W084_B03,B03_B03W084,33.7298,-118.1726
B03W085_B03,B03_B03W085,33.7589,-118.1963
B03W086_B03,B03_B03W086,33.9025,-118.4325
B03W087_B03,B03_B03W087,33.9011,-118.46
B03W088_B03,B03_B03W088,33.93138,-118.44805
B03W089_B03,B03_B03W089,33.92388,-118.4725
B03W090_B03,B03_B03W090,33.91666,-118.49416
B03W091_B03,B03_B03W091,33.9517,-118.461
B03W092_B03,B03_B03W092,33.9434,-118.48
B03W093_B03,B03_B03W093,33.95555,-118.47776
B03W094_B03,B03_B03W094,33.94026,-118.50976
B03W095_B03,B03_B03W095,33.9671,-118.472
B03W096_B03,B03_B03W096,33.9588,-118.492
B03W097_B03,B03_B03W097,33.9861,-118.4861
B03W098_B03,B03_B03W098,33.97416,-118.51
B03W099_B03,B03_B03W099,33.96666,-118.52555
B03W100_B03,B03_B03W100,34.00335,-118.49872
B03W101_B03,B03_B03W101,33.9887,-118.5273
B03W102_B03,B03_B03W102,33.95944,-118.45972
B03W154_B03,B03_B03W154,32.72352,-117.27305
B03W155_B03,B03_B03W155,32.73855,-117.26515
B03W156_B03,B03_B03W156,32.73448,-117.28563
B03W157_B03,B03_B03W157,32.74343,-117.30307
B03W158_B03,B03_B03W158,32.74535,-117.27728
B03W159_B03,B03_B03W159,32.75407,-117.26387
B03W160_B03,B03_B03W160,32.7528,-117.28703
B03W161_B03,B03_B03W161,32.76018,-117.3058
B03W162_B03,B03_B03W162,32.76855,-117.28762
B03W163_B03,B03_B03W163,32.7648,-117.27415
B03W164_B03,B03_B03W164,32.77447,-117.26193
B03W165_B03,B03_B03W165,32.78272,-117.27838
B03W173_B03,B03_B03W173,33.61462,-117.94587
B03W174_B03,B03_B03W174,33.60453,-117.9544
B03W175_B03,B03_B03W175,33.59502,-117.9624
B03W176_B03,B03_B03W176,33.63498,-117.9818
B03W177_B03,B03_B03W177,33.62537,-117.98957
B03W178_B03,B03_B03W178,33.6154,-117.99785
B03W179_B03,B03_B03W179,33.7099,-118.0929
B03W180_B03,B03_B03W180,33.6903,-118.1036
B03W181_B03,B03_B03W181,33.6616,-118.1175
B03W183_B03,B03_B03W183,33.7275,-118.1354
B03W184_B03,B03_B03W184,33.72234,-118.26041
B03W185_B03,B03_B03W185,33.73065,-118.23106
B03W186_B03,B03_B03W186,33.7391,-118.21558
B03W187_B03,B03_B03W187,33.75045,-118.17628
B03W188_B03,B03_B03W188,33.74725,-118.15083
B03W189_B03,B03_B03W189,33.71917,-118.23127
B03W190_B03,B03_B03W190,33.7254,-118.20947
B03W191_B03,B03_B03W191,33.7289,-118.15316
B03W200_B03,B03_B03W200,32.61133,-117.14567
B03W201_B03,B03_B03W201,32.66887,-117.1867
B03W202_B03,B03_B03W202,32.66628,-117.22805
"B-10-Long Beach, Long Beach City",B-10,33.7501,-118.13
"B-11-Long Beach, Long Beach City",B-11,33.7445,-118.119
"B-12-Long Beach, Long Beach City",B-12,-88,-88
"B-13-Long Beach, Long Beach City",B-13,-88,-88
"B-14-Long Beach, Long Beach City",B-14,33.7545,-118.132
"B-15-Long Beach, Long Beach City",B-15,-88,-88
"B-16-Long Beach, Long Beach City",B-16,-88,-88
"B-17-Long Beach, Long Beach City",B-17,-88,-88
"B-18-Long Beach, Long Beach City",B-18,-88,-88
"B-19-Long Beach, Long Beach City",B-19,-88,-88
"B-20-Long Beach, Long Beach City",B-20,-88,-88
"B-21-Long Beach, Long Beach City",B-21,-88,-88
"B-22-Long Beach, Long Beach City",B-22,33.7597,-118.119
"B-23-Long Beach, Long Beach City",B-23,-88,-88
"B-24-Long Beach, Long Beach City",B-24,33.7706,-118.135
"B-25-Long Beach, Long Beach City",B-25,33.7712,-118.134
"B-26-Long Beach, Long Beach City",B-26,33.771,-118.135
"B-27-Long Beach, Long Beach City",B-27,-88,-88
"B-28-Long Beach, Long Beach City",B-28,-88,-88
"B-29-Long Beach, Long Beach City",B-29,33.7556,-118.132
"B-30-Long Beach, Long Beach City",B-30,-88,-88
"B-31-Long Beach, Long Beach City",B-31,33.7512,-118.126
"B-33-Long Beach, Long Beach City",B-33,-88,-88
"B-34-Long Beach, Long Beach City",B-34,-88,-88
"B-35-Long Beach, Long Beach City",B-35,-88,-88
"B-37-Long Beach, Long Beach City",B-37,-88,-88
"B-3-Long Beach, Long Beach City",B-3,33.7577,-118.148
"B-40-Long Beach, Long Beach City",B-40,-88,-88
"B-4-Long Beach, Long Beach City",B-4,-88,-88
"B-50-Long Beach, Long Beach City",B-50,-88,-88
"B-51-Long Beach, Long Beach City",B-51,-88,-88
"B-52-Long Beach, Long Beach City",B-52,-88,-88
"B-53-Long Beach, Long Beach City",B-53,-88,-88
"B-54-Long Beach, Long Beach City",B-54,-88,-88
"B-55-Long Beach, Long Beach City",B-55,-88,-88
"B-56-Long Beach, Long Beach City",B-56,33.7634,-118.174
"B-57-Long Beach, Long Beach City",B-57,-88,-88
B58 CDPH shellfish lease fecal coliform site,310B58,35.3451,-120.8516
"B-58-Long Beach, Long Beach City",B-58,-88,-88
"B-59-Long Beach, Long Beach City",B-59,-88,-88
"B5A CDPH bay mouth fecal coliform site, above moorings",310B5A,35.3659,-120.855
"B5B CDPH tidelands fecal coliform site, below moorings",310B5B,35.3562,-120.8502
B5C CDPH state park fecal coliform site,310B5C,35.3464,-120.8468
"B-5-Long Beach, Long Beach City",B-5,33.7639,-118.178
"B-60-Long Beach, Long Beach City",B-60,33.7614,-118.162
"B-61-Long Beach, Long Beach City",B-61,-88,-88
"B-62-Long Beach, Long Beach City",B-62,33.7586,-118.152
"B-63-Long Beach, Long Beach City",B-63,33.7636,-118.18
B64 CDPH shellfish lease fecal coliform site,310B64,35.3466,-120.8558
"B-64-Long Beach, Long Beach City",B-64,33.755,-118.14
B65 CDPH shellfish lease fecal coliform site,310B65,35.3516,-120.8572
"B-65-Long Beach, Long Beach City",B-65,33.7518,-118.133
"B-66-Long Beach, Long Beach City",B-66,33.7472,-118.124
"B-67-Long Beach, Long Beach City",B-67,33.7581,-118.13
"B-68-Long Beach, Long Beach City",B-68,-88,-88
"B-69-Long Beach, Long Beach City",B-69,33.7563,-118.131
"B-6-Long Beach, Long Beach City",B-6,33.7627,-118.168
B70 CDPH shellfish lease fecal coliform site,310B70,35.3398,-120.8455
"B-70-Long Beach, Long Beach City",B-70,33.7577,-118.119
B71 CDPH shellfish lease fecal coliform site,310B71,35.3359,-120.8397
B75 CDPH shellfish lease fecal coliform site,310B75,35.3341,-120.8397
B79 CDPH shellfish lease fecal coliform site,310B79,35.3371,-120.8397
"B-7-Long Beach, Long Beach City",B-7,33.7596,-118.155
"B-8-Long Beach, Long Beach City",B-8,33.7579,-118.149
"B-9-Long Beach, Long Beach City",B-9,33.7564,-118.144
Badenaugh Cr above Dodge Cr,SM4-UCD-Tate,39.62863868,-120.1847026
Baker Creek at LADWP diversion structure above Baker Creek Campground,BAK.50,37.16782245,-118.3115685
"BAKER NE-Baker Beach, Marin",BAKER NE,37.8335,-122.475
"BAKER NW-Baker Beach, Marin",BAKER NW,37.8332,-122.478
"BAKER SW-Baker Beach, Marin",BAKER SW,37.8321,-122.477
Ballona Creek at Benedict Canyon,405SMB054,34.01541,-118.39044
Ballona Creek at Centinela,405SMB052,33.97902,-118.4253
Ballona Creek at Daylight,405SMB055,34.04413,-118.35406
Ballona Creek at Sepulveda,405SMB053,33.99209,-118.40798
Barton Creek above SR 28,634BARB10,39.18579,-120.12108
Basin Creek along Cottonwood Road,BASC,37.999543,-120.16078
"Bath House-Crown Beach (Alameda Co), East Bay Parks District",Crown Bath House,37.7658,-122.275
